id,title,original_language,overview,popularity,release_date,vote_average,vote_count
6166,The Devil's Backbone,es,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.",14.923,4/20/2001,7.3,1135
6167,Edge of Darkness,en,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",17.924,1/28/2010,6.3,1441
6168,High Crimes,en,"A female attorney learns that her husband is really a marine officer awol for fifteen years and accused of murdering fifteen civilians in El Salvador. Believing her husband when he tells her that he's being framed as part of a U.S. Military cover-up, the attorney defends him in a military court.",18.173,4/5/2002,6.4,734
6169,Psychokinesis,ko,"An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",15.18,1/31/2018,6.2,277
6170,Terminal,en,"In the dark heart of a sprawling, anonymous city, two assassins carry out a sinister mission, a teacher battles a fatal illness, and an enigmatic janitor and a curious waitress lead dangerous double lives.  Murderous consequences unravel in the dead of night, as their lives intertwine at the hands of a mysterious criminal mastermind who is hell-bent on revenge.",16.929,5/10/2018,5.5,742
6171,Pokémon the Movie: Black - Victini and Reshiram,ja,"The Kingdom of the People of the Earth once ruled over the land, but now all that remains is the Sword of the Earth. in the city of Eindoak. Satoshi, Iris, and Dent arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Earth named Dred Grangil has arrived who seeks to revive the kingdom's power with the Sword of the Earth, bringing them back into power over the land, and Satoshi and his friends must stop him before he destroys the land along with Victini.",22.924,7/16/2011,6.6,152
6172,Kiss the Girls,en,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",22.672,9/29/1997,6.5,1394
6173,Return to Oz,en,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",14.671,6/21/1985,6.7,965
6174,Bend It Like Beckham,en,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.",15.672,4/11/2002,6.3,1790
6175,R.A.I.D. Special Unit,fr,"The story of a woman who dreams to join an intervention group in the police department called RAID. Unfortunately, she is rather clumsy and both her family (and soon to be family-in-law) and a veteran of the RAID do not approve. However, Johanna is determined to prove them wrong.",19.227,2/1/2017,5.7,865
6176,Armour of God,cn,"Jackie Chan stars as Asian Hawk, an Indiana Jones-style adventurer looking to make a fortune in exotic antiquities. After Hawk discovers a mysterious sword in Africa, a band of Satan-worshipping monks kidnap his ex-girlfriend Lorelei, demanding the sword as ransom as well as other pieces of the legendary Armour of God - a magical outfit dating back to the Crusades.",22.72,8/16/1986,7,518
6177,Runaway Train,en,A hardened convict and a younger prisoner escape from a brutal prison in the middle of winter only to find themselves on an out-of-control train with a female railway worker while being pursued by the vengeful head of security.,21.67,11/15/1985,7,512
6178,Analyze That,en,"The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.",18.171,12/6/2002,5.8,1148
6179,Ophelia,en,"Ophelia comes of age as lady-in-waiting for Queen Gertrude, and her singular spirit captures Hamlet's affections. As lust and betrayal threaten the kingdom, Ophelia finds herself trapped between true love and controlling her own destiny.",21.179,6/28/2019,7.2,507
6180,Ophelia,en,"Ophelia comes of age as lady-in-waiting for Queen Gertrude, and her singular spirit captures Hamlet's affections. As lust and betrayal threaten the kingdom, Ophelia finds herself trapped between true love and controlling her own destiny.",21.179,6/28/2019,7.2,507
6181,Deep Blue Sea,en,"Researchers on the undersea lab Aquatica have genetically altered the brains of captive sharks to develop a cure for Alzheimer's disease. But there's an unexpected side effect: the sharks got smarter, faster, and more dangerous. After a big storm damages their remote research facility, they must fight for their lives.",17.67,7/28/1999,6,2274
6182,The International,en,"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.",19.42,2/3/2009,6.2,1149
6183,Iron Sky,en,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.",23.171,4/4/2012,5.7,1501
6184,Backcountry,en,A couple on a deep-wilderness hike become hopelessly lost within an aggressive black bear's territory.,15.423,3/20/2015,5.8,568
6185,Valhalla Rising,en,"Scandinavia, 1,000 AD. For years, One Eye, a mute warrior of supernatural strength, has been held prisoner by the Norse chieftain Barde. Aided by Are, a boy slave, One Eye slays his captor and together he and Are escape, beginning a journey into the heart of darkness. On their flight, One Eye and Are board a Viking vessel, but the ship is soon engulfed by an endless fog that clears only as the crew sights an unknown land. As the new world reveals its secrets and the Vikings confront their terrible and bloody fate, One Eye discovers his true self.",14.419,9/4/2009,6.1,1131
6186,Fired Up!,en,Popular high schoolers and best friends Shawn and Nick decide to ditch football camp for cheerleader camp. For the girls and for the glory.,17.919,2/20/2009,6.1,587
6187,"Merry Christmas, Mr. Lawrence",ja,"Island of Java, 1942, during World War II. British Major Jack Celliers arrives at a Japanese prison camp, run by the strict Captain Yonoi. Colonel John Lawrence, who has a profound knowledge of Japanese culture, and Sergeant Hara, brutal and simpleton, will witness the struggle of wills between two men from very different backgrounds who are tragically destined to clash.",17.617,5/28/1983,7.3,413
6188,Pups Alone,en,"After receiving an exciting new job opportunity at a cutting edge Pet Invention company, Robert, his teenage daughter Jenna and their trusty and special border collie Charlie make the move to the new neighborhood, right before Christmas. Upon arriving, Robert meets his gorgeous next door neighbor Holly, and her sassy and spunky border collie Gidget. Before the sparks can fly, they are set upon my Robert’s conniving and obnoxious next door neighbor and project manager Victor, his neighborhood bully bulldog “Vinnie P” and the sycophantic sidekick Chihuahua “Jose”.",16.121,11/19/2021,5.9,56
6189,Holes,en,A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.,18.118,4/18/2003,6.8,1267
6190,Sin tetas no hay paraíso,es,"Catalina is a young, beautiful girl living in extreme poverty with her brother Bayron and her mother Hilda. She becomes obsessed with getting breast implants to get social status and money. She leaves her boyfriend Albeira and becomes a prostitute for drug dealers. In this way she will enjoy all the luxuries that she lacks. Meanwhile, her ex-boyfriend Albeira and her mother Hilda begin a relationship behind her back.",27.686,7/23/2010,7.2,79
6191,Javier Milei: la revolución liberal,es,A portrait of Argentine libertarian politician Alberto Milei.,19.572,7/10/2023,0,0
6192,Starship Troopers 3: Marauder,en,"The war against the Bugs continues! A Federation Starship crash-lands on the distant Alien planet OM-1, stranding beloved leader Sky Marshal Anoke and several others, including comely but tough pilot Lola Beck. It's up to Colonel/General Johnny Rico, reluctant hero of the original Bug Invasion on Planet P, to lead a team of Troopers on a daring rescue mission.",17.368,7/19/2008,4.7,464
6193,Finding Neverland,en,"During a writing slump, playwright J.M. Barrie meets a widow and her four children, all young boys—who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece. Peter Pan'.",15.867,10/17/2004,7.3,3400
6194,Tailgate,nl,"A cocksure, road-raging family man finds himself pursued and terrorized by the vengeful van driver he chooses to tailgate.",22.676,10/31/2019,6.2,222
6195,Adidas Vs. Puma: The Brother's Feud,de,"Two brothers start a sportswear company in the 1920s, hoping to make the best shoes in the world. Their relationship deteriorates until they become bitter rivals.",18.22,3/25/2016,7.1,124
6196,Bordello of Blood,en,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current.",21.665,8/16/1996,5.9,345
6197,Hurricane Season,es,"When a group of teens finds a corpse floating in a canal, the brutal reality behind the perverse crime unravels a town's hidden secrets.",27.665,11/1/2023,7.3,10
6198,Species III,en,"After she delivers her child in an ambulance, alien Eve is killed by a half-breed. Fortunately, Dr. Abbot scoops up the baby alien and escapes. In time, the baby grows into a gorgeous blonde named Sara and begins her quest to find a worthy mate. But Sara is also savage and leaves a trail of deaths in her wake. This carnage makes chemistry student Dean question whether to help her race or not.",17.865,11/26/2004,5.2,373
6199,All the Way,fr,"15-year-old Solange lives in a little town in the French Alps. When her parents get divorced, she discovers her femininity and has her first sexual experiences.",16.646,9/17/2021,6.6,22
6200,Christiane F.,de,"This movie portrays the drug scene in Berlin in the 70s, following tape recordings of Christiane F. 14 years old Christiane lives with her mother and little sister in a typical multi-storey apartment building in Berlin. She's fascinated by the 'Sound', a new disco with most modern equipment. Although she's legally too young, she asks a friend to take her. There she meets Detlef, who's in a clique where everybody's on drugs. Step by step she gets drawn deeper into the scene.",17.713,4/2/1981,7.3,1236
6201,The Curse of Robert the Doll,en,"Considered the most haunted doll in the world, Robert the Doll lives behind glass in a museum in Key West, Florida, where every year thousands of visitors who fail to follow his rules find themselves cursed. Victims have experienced illness, injury, accidents and even death. But what makes Robert curse his victims? What evil entity lives inside this doll? This latest Shock Docs installment explores the true origin of Robert the Doll, uncovers the story of Robert's first owners in 1905, and seeks to find out why this doll is so nefarious.",22.673,9/30/2022,7.3,14
6202,The Divine Fury,ko,"After waking up with mysterious wounds on his hands, a champion fighter finds himself in an otherworldly battle against evil forces that wreak havoc in the human world.",14.506,7/31/2019,6.7,225
6203,Alibi.com,fr,"Greg founded a company called Alibi.com that creates any type of alibi. With his associate, Augustin, and Medhi his new employee, they devise unstoppable stratagems and stagings to cover their clients. But meeting Flo, a pretty blonde who hates men who lie, will complicate Greg's life, which begins by hiding the true nature of his activity. During the presentation to parents, Greg understands that Gérard, the father of Flo, is also one of their clients.",18.168,2/15/2017,6.5,1596
6204,Out of Africa,en,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",14.912,12/20/1985,7.2,1282
6205,Team America: World Police,en,"When North Korean ruler Kim Jong-il orchestrates a global terrorist plot, it's up to the heavily armed, highly specialized Team America unit to stop his dastardly scheme. The group, which has recruited troubled Broadway actor Gary Johnston, not only has to face off against Jong-il, but they must also contend with the Film Actors Guild, a cadre of Hollywood liberals at odds with Team America's ""policing the world"" tactics.",15.162,10/10/2004,6.7,1727
6206,Tentacles,en,"A young Los Angeles couple Tara and Sam fall head over heels into a new romance, entwining their lives—until their intimacy transforms into something terrifying.",24.728,2/12/2021,6,103
6207,My Girlfriend 2,ko,"Every day, a hot Min-cheol-nahee couple. Na-hee goes home to introduce Min-cheol to her sister Eun-young. After a brief greeting, they immediately go into the room and have hot sex. Eun-young accidentally saw her. From that night, Min-cheol keeps thinking and masturbating. One day, Na-hee leaves the house to meet a friend, and Min-cheol comes to the house. We are going to drink together, and Mincheol wants to soothe her for being lonely without a lover...",22.223,1/9/2020,0,0
6208,The Librarian: Quest for the Spear,en,"When a magical artifact is lifted from his library, a meek librarian sets out to ensure its safe return.",20.662,7/12/2004,6.2,590
6209,Land of the Lost,en,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",22.663,6/5/2009,5.4,1225
6210,Giant,en,"Wealthy rancher Bick Benedict and dirt-poor cowboy Jett Rink both woo Leslie Lynnton, a beautiful young woman from Maryland who is new to Texas. She marries Benedict, but she is shocked by the racial bigotry of the White Texans against the local people of Mexican descent. Rink discovers oil on a small plot of land, and while he uses his vast, new wealth to buy all the land surrounding the Benedict ranch, the Benedict's disagreement over prejudice fuels conflict that runs across generations.",18.662,11/8/1956,7.6,641
6211,The Art of Self-Defense,en,"Casey is attacked at random on the street and enlists in a local dojo led by a charismatic and mysterious Sensei in an effort to learn how to defend himself. What he uncovers is a sinister world of fraternity, violence and hypermasculinity and a woman fighting for her place in it.",16.422,7/12/2019,6.6,653
6212,Café Society,en,"The story of a young man who arrives in Hollywood during the 1930s hoping to work in the film industry, falls in love, and finds himself swept up in the vibrant café society that defined the spirit of the age.",17.266,5/11/2016,6.5,2581
6213,The Invention of Lying,en,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",21.162,10/2/2009,6.2,1954
6214,After the Dark,en,"At an international school in Jakarta, a philosophy teacher challenges his class of twenty graduating seniors to choose which ten of them would take shelter underground and reboot the human race in the event of a nuclear apocalypse.",14.414,7/6/2013,6.1,639
6215,Supercool,fi,"Best friends, Neil and Gilbert start their senior year of high school with high hopes and aspirations. Neil has always fantasized about being cool enough to date his long time crush and Gilbert has always dreamed of being a social media super star. After what is, by all accounts, a very disappointing and embarrassing first day in school, Neil makes a magical wish to be cool just at the magical moment when the clock strikes 11:11. The next morning, Neil wakes up to a reality that is straight from the comics of his dreams.",17.148,7/2/2021,6.1,39
6216,Melancholia,en,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,16.861,5/26/2011,7.2,3275
6217,My Neighbors the Yamadas,ja,"The Yamadas are a typical middle class Japanese family in urban Tokyo and this film shows us a variety of episodes of their lives. With tales that range from the humorous to the heartbreaking, we see this family cope with life's little conflicts, problems, and joys in their own way.",19.109,7/17/1999,7,471
6218,Dogville,en,"A mysterious woman named Grace hides in a small mountain town from criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville.",20.559,5/19/2003,7.8,2260
6219,Accident Man,en,"Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.",17.916,2/6/2018,6.1,454
6220,Dogville,en,"A mysterious woman named Grace hides in a small mountain town from criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville.",20.559,5/19/2003,7.8,2260
6221,Accident Man,en,"Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.",17.916,2/6/2018,6.1,454
6222,Hour of the Gun,en,"Marshal Wyatt Earp kills a couple of men of the Clanton-gang in a fight. In revenge Clanton's thugs kill the marshal's brother. Thus, Wyatt Earp starts to chase the killers together with his friend Doc Holliday.",11.832,11/1/1967,6.5,78
6223,Flash Gordon,en,A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,20.608,9/1/1980,6.2,889
6224,Ip Man,cn,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",19.08,12/12/2008,7.8,3533
6225,The Cursed,en,"In the late 19th century, a brutal land baron slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, the baron's son goes missing, and a boy is found murdered. The locals suspect a wild animal, but a visiting pathologist warns of a more sinister presence lurking in the woods.",16.878,7/28/2021,6.8,222
6226,A Chinese Odyssey Part Two: Cinderella,cn,"This sequel to ""Pandora's Box"" continues director Jeffrey Lau's adaptation of the Buddhism saga ""Journey to the West"". Stranded five centuries in the past, Joker Monkey King must battle a variety of monsters, seductive women and super-powered villains to save the dying Pak Jing-Jing.",15.657,2/4/1995,7.7,193
6227,Kelly's Heroes,en,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.,15.407,6/22/1970,7.4,658
6228,"OSS 117: Cairo, Nest of Spies",fr,"Secret agent OSS 117 foils Nazis, beds local beauties, and brings peace to the Middle East.",12.909,4/19/2006,7.3,1623
6229,The Last Starfighter,en,A video game expert Alex Rogan finds himself transported to another planet after conquering The Last Starfighter video game only to find out it was just a test. He was recruited to join the team of best Starfighters to defend their world from the attack.,14.107,7/13/1984,6.6,628
6230,Rosario Tijeras,es,"Rosario Tijeras has been abused by men all her life, initially by her stepfather. Years later, she works as a paid assassin, seducing men and killing them when they least expect it. She meets Emilio, a wealthy womanizer, and his best friend, Antonio, at a nightclub, and starts an affair with Emilio despite Antonio's growing feelings for her. But circumstances bring her closer to Antonio, until her past catches up with her in a devastating way.",27.593,8/12/2005,6.2,59
6231,Street Kings,en,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.",20.858,4/10/2008,6.6,1369
6232,Nocturne,en,"Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate.",20.171,10/13/2020,5.9,389
6233,ZOMBI-Thon with Big City Greens,en,The Green Family gathers together to celebrate the trilogy of ZOMBIES movie musicals with a new ZOMBIES-themed variety special. The show takes a turn when Gramma tricks ZOMBIES stars Milo Manheim and Meg Donnelly into celebrating with them!,18.273,8/20/2022,8,1
6234,Nobody Sleeps in the Woods Tonight 2,pl,"When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",21.429,10/27/2021,4.7,279
6235,Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot Wandering; Agateram,ja,"The wandering knight, Bedivere, reaches the end of his journey. It is A.D. 1273 in Jerusalem. The Holy Land has been transformed into a massive desert and its people have been forced out of their homes as three major powers wage war with each other in this wasteland. The Knights of the Round Table come together to protect the Holy City and their Lion King. With the whole of his kingdom summoned into a strange land, Ozymandias, the Sun King, quietly plots against the tyranny of this bizarre realm. The mountain people, protectors of those who were stripped of their land, await their chance at rebellion. In order to fulfill his mission, Bedivere heads for the Holy City where the Lion King rules. There he meets humanity’s final Master, Ritsuka Fujimaru, who has come to Jerusalem, accompanied by his Demi-Servant, Mash Kyrielight, in their quest to restore human history.",18.962,12/5/2020,7.2,58
6236,Seven Years in Tibet,en,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",16.807,9/12/1997,7.2,2659
6237,The Legend of the Black Charro,es,"After releasing the Chupacabras, Leo San Juan decides that it is time to return together with his brother Nando to his grandmother's house. Halfway down the road, Charro Negro manages to confuse Leo and because of him, an innocent girl is dragged into the underworld. Leo is forced to repair the damage. Your friends will come to try to help you and get out of there as soon as possible. But it is no coincidence that the Charro has chosen to involve Leo, his intentions go beyond getting a new soul.",27.584,1/19/2018,8.1,155
6238,I'm No Longer Here,es,"In Monterrey, Mexico, a young street gang spends their days dancing to slowed-down cumbia and attending parties. After a mix-up with a local cartel, their leader is forced to migrate to the U.S. but quickly longs to return home.",14.716,10/21/2019,7.8,443
6239,Crazy Fist,zh,"After an opponent dies mid-match, a prominent MMA champion swore never to fight again and retired to run his family's company. But when his best friend dies under suspicious circumstances, he has no choice but to step back in the ring.",24.263,5/6/2021,6.9,53
6240,Crimes of the Future,en,"With his partner Caprice, celebrity performance artist Saul Tenser publicly showcases the metamorphosis of his organs in avant-garde performances. Timlin, an investigator from the National Organ Registry, obsessively tracks their movements, which is when a mysterious group is revealed... Their mission -- to use Saul's notoriety to shed light on the next phase of human evolution.",17.836,5/25/2022,6.2,926
6241,"Torrente, the Dumb Arm of the Law",es,"Torrente, The Stupid Arm of The Law by Santiago Segura stars Javier Cámara as a corrupt, poor, delusional, sexist, egocentric, drunk and right-winged Madrid cop named Torrente. This over the top comedy shows Torrente on his search for heroin drug dealers and the outrageous characters he passes on his way. A cult film and one of the funniest Spanish films was the most successful box-office film.",16.405,3/13/1998,6.4,246
6242,"Greystoke: The Legend of Tarzan, Lord of the Apes",en,"A shipping disaster in the 19th Century has stranded a man and woman in the wilds of Africa. The lady is pregnant, and gives birth to a son in their tree house. Soon after, a family of apes stumble across the house and in the ensuing panic, both parents are killed. A female ape takes the tiny boy as a replacement for her own dead infant, and raises him as her son. Twenty years later, Captain Phillippe D'Arnot discovers the man who thinks he is an ape. Evidence in the tree house leads him to believe that he is the direct descendant of the Earl of Greystoke, and thus takes it upon himself to return the man to civilization.",19.904,3/30/1984,6.4,429
6243,T2 Trainspotting,en,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",21.859,1/27/2017,6.9,2955
6244,The Wild Thornberrys Movie,en,"Eliza and Debbie are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals....",16.154,12/20/2002,6.4,242
6245,Downfall: The Case Against Boeing,en,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.,16.429,2/9/2022,7.1,154
6246,Larry Crowne,en,"When he suddenly finds himself without his long-standing blue-collar job, Larry Crowne enrolls at his local college to start over. There, he becomes part of an eclectic community of students and develops a crush on his teacher.",19.405,6/30/2011,6,1226
6247,Beverly Hills Chihuahua 3: Viva la Fiesta!,en,"When Papi, Chloe, the pups, Uncle Pedro, and their owners move to a hotel, the smallest pup Rosa feels like she doesn't fit in, and Papi wants to make her feel better by showing her how special she is.",17.405,9/3/2012,6.2,240
6248,Dog Day Afternoon,en,"Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.",19.652,9/21/1975,7.8,2744
6249,Outlaws,es,Introverted Girona student Nacho meets two delinquents from the city's Chinatown and gets caught up in a summer onslaught of burglaries and hold ups that will change his life.,20.724,10/8/2021,6.9,182
6250,Hot Tub Time Machine 2,en,"After their first adventure with the ""Hot Tub Time Machine,"" Lou and Nick are living very well off their ill-gotten gains, while Jacob still cannot rely on Lou to be a positive role model. When an unknown assailant breaks into Lou's mansion and shoots him, Nick and Jacob take him for another trip in the hot tub. They emerge in the year 2025, where they must figure out who shot Lou and prevent it from happening again.",16.907,2/20/2015,5.2,847
6251,The Party at Kitty and Stud's,en,"Kitty and Stud are lovers. They enjoy a robust sex-life, which includes fellatio and light S&M, specifically, Stud belt-whipping Kitty. Three women come over for a party and Stud services them, one after the other.",16.372,2/10/1970,3.7,64
6252,Michael Jackson: The Life of an Icon,en,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson, family, friends and music legends such as Smokey Robinson, Dionne Warwick and many more.",18.904,11/2/2011,7.7,123
6253,Laura,fr,A blinded French sculptor completes a statue of a friend's daughter by using his sense of touch.,18.131,11/28/1979,5.1,16
6254,The Mercator Trail,nl,"When the digital-mad Benjamin turns 18, he inherits a box of ancient artefacts from his missing father. He gives an antique book to Slien, a girl he has his eye on, and unintentionally sets off a chain reaction. An old man called Zeppos is also very interested in the book, which once belonged to the cartographer Mercator. Using the secret messages in Mercator's book, the trio uncover a mystery, while having to stay one step ahead of a shadowy rival.",15.38,3/30/2022,5.8,5
6255,Dirty Harry,en,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",20.15,12/22/1971,7.5,2265
6256,Nobody Sleeps in the Woods Tonight,pl,"Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",16.163,3/13/2020,5.3,617
6257,Fist Fight,en,"When one school teacher gets the other fired, he is challenged to an after-school fight.",27.531,2/16/2017,6.1,1181
6258,Father There Is Only One 2,es,The success of the Conchy virtual assistant (which was developed by Javier) has earned him a favorable spot in the parents chat room - until something unexpected ruins it all.,21.463,7/29/2020,7.5,515
6259,Office Race,en,"An unambitious office worker goes to great lengths—specifically 26.2 miles—to one up his exercise-obsessed, micromanaging boss.",18.993,9/4/2023,5.8,13
6260,Before the Devil Knows You're Dead,en,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",17.401,9/26/2007,7.1,1365
6261,Night School,en,"Teddy Walker is a successful salesman whose life takes an unexpected turn when he accidentally blows up his place of employment. Forced to attend night school to get his GED, Teddy soon finds himself dealing with a group of misfit students, his former high school nemesis and a feisty teacher who doesn't think he's too bright.",17.908,9/27/2018,6.2,1566
6262,Vampire Hunter D: Bloodlust,ja,"D has been hired to track down Meier Link, a notoriously powerful vampire who has abducted a woman, Charlotte Elbourne. D's orders are strict - find Charlotte, at any cost. For the first time, D faces serious competition. The Markus Brothers, a family of Vampire Hunters, were hired for the same bounty. D Must intercept Meier and conquer hostile forces on all sides in a deadly race against time.",24.9,8/25/2000,7.5,560
6263,The Red Sea Diving Resort,en,"Sudan, East Africa, 1980. A team of Israeli Mossad agents plans to rescue and transfer thousands of Ethiopian Jews to Israel. To do so, and to avoid raising suspicions from the inquisitive and ruthless authorities, they establish as a cover a fake diving resort by the Red Sea.",15.96,7/28/2019,6.9,757
6264,White Noise,en,"Jack Gladney, professor of Hitler studies at The-College-on-the-Hill, husband to Babette, and father to four children/stepchildren, is torn asunder by a chemical spill from a rail car that releases an ""Airborne Toxic Event"" forcing Jack to confront his biggest fear - his own mortality.",17.095,11/25/2022,5.6,583
6265,Memphis Belle,en,"The ""Memphis Belle"" is a World War II bomber, piloted by a young crew on dangerous bombing raids into Europe. The crew only have to make one more bombing raid before they have finished their duty and can go home. In the briefing before their last flight, the crew discover that the target for the day is Dresden, a heavily-defended city that invariably causes many Allied casualties",13.198,9/7/1990,6.8,344
6266,Dead Again in Tombstone,en,"The devil’s outlaw and reluctant servant, Guerrero returns from the dead again in this action-packed western which promises to be one hell of a ride. Guerrero is forced to protect a stolen relic from getting into the hands of Jackson Boomer and his gang of soldiers, but Jackson will stop at nothing to raise his comrades from the dead and bring the wrath of hell upon earth. Guerrero must use all his dark powers in order to defeat Jackson and find redemption…or die again trying.",11.791,8/30/2017,4.9,72
6267,D.E.B.S.,en,The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.,18.149,1/21/2004,6.4,517
6268,Kahalili,tl,"A young woman finds work on a wealthy couple’s farm, but is asked to provide the ultimate service: to serve as a surrogate mother. As her pregnancy progresses, the husband’s growing sexual attachment intensifies.",19.833,8/18/2023,0,0
6269,Unsane,en,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.,18.905,2/21/2018,6.2,1434
